English words/sentences,French words/sentences
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureuse que vous soyez venues nous rendre visite.
The statue has no head.,La statue n'a pas de tête.
You're resilient.,Vous êtes endurante.
Let's go somewhere quiet so we can talk.,"Allons dans quelque endroit tranquille, afin de pouvoir discuter."
Can I get you a cup of tea?,Vous voulez une tasse de thé ?
I don't know where my keys are.,J'ignore où sont mes clés.
She advised him to see a lawyer.,Elle lui a conseillé de voir un avocat.
You don't know what that means to me.,Vous ignorez ce que cela signifie pour moi.
I hid it somewhere.,Je l'ai caché quelque part.
You're a victim of the system.,Vous êtes une victime du système.
Always keep your workplace organized.,Garde toujours ton espace de travail en ordre.
This is obviously false.,C'est évidemment faux.
Tom should be here any minute.,Tom sera ici d'une minute à l'autre.
Do you prefer tea or coffee?,Préférez-vous le thé ou le café ?
You aren't smiling.,Tu ne souris pas.
"With a little more effort, he would have succeeded.","En faisant un peu plus d'effort, il aurait réussi."
She isn't old enough to get a driving license.,Elle n'est pas assez grande pour obtenir son permis de conduire.
Men and women need each other.,Les hommes et les femmes ont besoin les uns des autres.
Tom was my first real boyfriend.,Tom fut mon premier vrai petit ami.
Tom has only one leg.,Tom n'a qu'une jambe.
You can trust him. He'll never betray you.,Tu peux lui faire confiance. Il ne te trahira jamais.
These are the originals.,Voici les originaux.
I wonder whether Tom will go to Boston or Chicago next summer.,Je me demande si Tom ira à Boston ou à Chicago l'été prochain.
They are arguing.,Ils sont en train de se disputer.
I don't like Chinese food at all.,Je n'aime pas du tout la cuisine chinoise.
You have to promise not to tell anyone.,Tu dois promettre de ne le dire à personne.
It's ideal weather for a picnic.,Le temps est idéal pour un pique-nique.
I saw Tom kissing another girl.,Je vis Tom embrasser une autre fille.
That can't be good for you.,Ça ne peut pas être bon pour vous.
The train arrived on time.,Le train arriva à l'heure.
"Tom is a good friend of yours, isn't he?","Tom est un bon ami à toi, n'est-ce pas ?"
I moved here last October.,J'ai déménagé ici en octobre dernier.
I have doubts about the success of their plan.,J'ai des doutes sur la réussite de leur plan.
He missed the deadline.,Il a loupé la date limite.
Stop arguing.,Arrête de te quereller !
I never visit my sister.,Je ne rends jamais visite à ma sœur.
"As soon as I can get the chance, I'll send you some money.","Dès que je peux avoir l'occasion, je vous enverrai de l'argent."
The trees are beginning to bud.,Les arbres commencent à bourgeonner.
We know where you were.,Nous savons où vous étiez.
Tom hid under the bed with the cat.,Tom s'est caché sous le lit avec le chat.
I heard everything you said.,J'ai entendu tout ce que vous avez dit.
How long do we have to do this?,Combien de temps devons-nous faire ça ?
Are you sure we can't repair this camera?,Es-tu certain que nous ne pouvons pas réparer cet appareil photo ?
Always be smarter than people who hire you.,Sois toujours plus malin que les gens qui t'embauchent.
Don't make me answer that question.,Ne me force pas à répondre à cette question !
Tom didn't even tell me.,Tom ne me l'a même pas dit.
Aren't you going to Tom's party?,Tu ne vas pas à la soirée de Tom ?
Let's take a look at the facts.,Jetons un coup d’œil sur les faits.
Some of these young people have legs twice as long as mine.,Certains de ces jeunes gens ont des jambes deux fois plus longues que les miennes.
I haven't had a barbecue for a long time.,Je n'ai pas mangé de barbecue depuis longtemps.
I know someone's here.,Je sais quelqu'un est ici.
The child is suffering from the heat.,La gosse souffre de la chaleur.
Is this correct?,Est-ce exact ?
Did you put it somewhere?,L'as-tu mis quelque part ?
Where's the pharmacy?,Où se situe la pharmacie ?
He touched my shoulder.,Il m'a touché l'épaule.
Do you spend a lot of time with your friends?,Passes-tu beaucoup de temps avec tes amis ?
It was an act of courage.,Ce fut un acte de courage.
I'm not in the mood.,Je ne suis pas d'humeur.
I don't like being interrogated.,Je n'aime pas faire l'objet d'un interrogatoire.
You should do that while you still can.,Vous devriez faire ça pendant que vous le pouvez encore.
You're diplomatic.,Tu as de la diplomatie.
I can't hide out forever.,Je ne peux pas éternellement me cacher.
He loves me for who I am.,Il m'aime pour ce que je suis.
My wisdom teeth are coming in.,Mes dents de sagesse poussent.
I was there.,Je m'y trouvais.
Tom got himself another beer.,Tom s'est pris une autre bière.
Right now I can't think of anything else.,"Actuellement, je n'arrive à penser à rien d'autre."
Do you have the money?,Avez-vous l'argent ?
No one was there.,Personne n'était là.
Are you a student?,Êtes-vous étudiant ?
You've risked enough.,Vous avez pris suffisamment de risques.
Tom agrees.,Tom est d'accord.
All the girls love Tom.,Toutes les filles aiment Tom.
Are you close to your family?,Êtes-vous proches de votre famille ?
"I'd like you to meet my brother, Tom.","J'aimerais que vous rencontriez mon frère, Tom."
You look so beautiful.,Vous avez l'air si belles.
We're going to raise our prices.,Nous allons augmenter nos prix.
Can you narrow that down a little?,Tu peux être un peu plus précis?
Please turn off the radio.,Éteins la radio s'il te plait.
He crushed the sheet of paper up into a ball.,Il chiffonna la feuille de papier en une boule.
What is your decision?,Quelle est ta décision ?
Life is more interesting than any book.,La vie est plus intéressante que n'importe quel livre.
"Can I drive, please?","Puis-je conduire, je te prie ?"
I am glad to see her.,Je suis contente de la voir.
"I've never told anyone that before, not even my mother.","Je n'ai jamais dit cela à quiconque auparavant, pas même à ma mère."
Tom couldn't tell Mary what he'd seen.,Tom ne pouvait pas dire à Mary ce qu'il avait vu.
The ice is very thick.,La glace est très épaisse.
Tom took off his belt.,Tom a retiré sa ceinture.
Everyone in his family is tall.,Tous les membres de sa famille sont grands.
He rarely gives up.,Il abandonne rarement.
I don't know if I'm staying yet.,Je ne sais pas encore si je reste.
Don't forget that.,N'oubliez pas cela.
It was in the basement.,C'était au sous-sol.
I tried to do all I could.,J'ai tenté de faire tout ce que je pouvais.
I've been working since I was thirteen.,Je travaille depuis l'âge de treize ans.
It's time to go.,Il est temps d'y aller.
He missed the train by one minute.,Il a manqué le train d'une minute.
This is very useful.,C'est très utile.
Please trust me.,"Croyez-moi, s'il vous plaît."
Who gave you this envelope?,Qui t'a donné cette enveloppe ?
I want to be more than friends.,Je veux être davantage qu'une amie.
She was advised by him to be punctual.,Il lui a conseillé d'être ponctuelle.
That must've hurt.,Ça a dû faire mal.
Where is the police station?,Où se trouve le poste de police ?
Are they speaking French?,Parlent-ils français ?
Don't you ever clean your room?,Ne nettoies-tu jamais ta chambre ?
I'll pay you a visit sometime.,Je te rendrai visite un de ces quatre.
Computers save us a lot of time and trouble.,L'ordinateur nous épargne du temps et des problèmes.
Put the question in writing.,Écrivez la question.
I told everyone to be careful.,J'ai dit à tout le monde de faire attention.
How much time does the average teenager watch TV every day?,Combien de temps l'adolescent moyen passe-t-il à regarder la télé chaque jour ?
Don't touch my stuff.,Ne touche pas à mes trucs !
You've made Tom cry.,Tu as fait pleurer Tom.
I looked at the calendar on the wall.,J'ai regardé le calendrier au mur.
She was indignant when I said she was lying.,Elle était indignée quand j'ai dit qu'elle mentait.
Where are the car keys?,Où sont les clés de voiture ?
Go now.,Vas-y maintenant.
When will you leave?,Quand partirez-vous ?
I would like a cup of coffee.,Je voudrais une tasse de café.
Something is odd here.,Il y a quelque chose de bizarre ici.
Tom didn't have the courage to disobey Mary.,Tom n'avait pas le courage de désobéir à Mary.
He's not as tall as you are.,Il n'est pas aussi grand que toi.
It's a matter of survival.,C'est une question de survie.
I may die tomorrow.,Je mourrai peut-être demain.
Do you want me to leave the light on?,Voulez-vous que je laisse la lumière ?
How is the weather?,Comment est le temps ?
I'm taking an exam in January.,Je passe un examen en janvier.
You should allow an hour to get to the airport.,Tu devrais prévoir une heure pour atteindre l'aéroport.
We know the baker.,Nous connaissons le boulanger.
You'd better go.,Il vaut mieux que tu y ailles.
"Personally, I think you're right.","Personnellement, je pense que tu as raison."
I'll wait.,J'attendrai.
You can't carry on like this.,Tu ne peux pas continuer ainsi.
He boarded the ship.,Il monta à bord du bateau.
Tom's horse bit him.,Le cheval de Tom l'a mordu.
I think that we should do that again.,Je pense que nous devrions refaire ça.
Does anybody hear me?,Qui que ce soit m'entend-il ?
I'm downloading the pictures now.,Je suis en train de télécharger les photos.
I feel bad for them.,Je compatis avec eux.
I've never stopped loving you.,Je n'ai jamais cessé de vous aimer.
Tom seems to be an honest person.,Tom semble être une personne honnête.
Don't look so sad.,N'ayez pas l'air si triste !
He left a minute ago.,Il est parti il y a une minute.
I thought he was here.,Je pensais qu'il était là.
She asked us several questions.,Elle nous a posé plusieurs questions.
Don't you walk out on me.,Ne me laisse pas tomber.
Thank you for listening to my presentation.,Merci d'avoir écouté ma présentation.
Thank you again for your help.,Merci encore de votre aide.
Will you turn on the television?,Peux-tu me faire le plaisir d'allumer la télé ?
Don't touch me.,Ne me touchez pas !
Four is an unlucky number in Japanese.,Quatre est un nombre porte malheur au Japon.
They are negotiating to reach a satisfactory compromise.,Ils sont en train de négocier pour arriver à un compromis satisfaisant.
I know Tom is a gardener.,Je sais que Tom est jardinier.
No explanation is needed.,Ça se passe d'explications.
Would you mind lending me your pen?,Pourrais-tu me prêter ton stylo?
Be ruthless.,Soyez impitoyables !
He's rough around the edges.,Il est un peu rude aux encoignures.
The milk is in the fridge.,Le lait est dans le réfrigérateur.
She cooked some fish for me.,Elle m'a cuisiné du poisson.
How are you taking it?,Comment le prenez-vous ?
The windows were already open when I got here.,Les fenêtres étaient déjà ouvertes quand je suis arrivé ici.
"In our society, there are both honorable people and swindlers.",Notre société se compose de gens honorables et d'escrocs.
"If there's anything you want to do, you should do it.","S'il y a quoi que ce soit que vous veuillez faire, vous devriez le faire."
You should not go alone.,Tu ne devrais pas t'y rendre seul.
We have to stop.,Nous devons arrêter.
I know where they're taking Tom.,Je sais où ils emmènent Tom.
Nobody knows the future.,Nul ne connaît l'avenir.
They died in battle.,Ils moururent sur le champ de bataille.
I still think about her from time to time.,Je pense encore à elle de temps à autre.
I don't like to inhale someone's smoke while I'm working.,Je n'aime pas inhaler la fumée de quelqu'un pendant que je travaille.
We have enough supplies to last three months.,Nous avons assez de provisions pour tenir trois mois.
We don't know what they want to use it for.,Nous ignorons à quel usage elles le destinent.
I'd like to change some money.,J'aimerais changer de l'argent.
I want you to understand this isn't going to be easy.,Je veux que vous compreniez que ça ne va pas être aisé.
You must be joking!,Tu parles !
Tom and Mary arrived in Boston at the same time.,Tom et Mary sont arrivés à Boston en même temps.
Did you get a good look at his face?,Avez-vous bien vu son visage ?
Go ahead.,Poursuis !
Don't you ever knock before you enter a room?,Ne frappez-vous jamais avant d'entrer dans une chambre ?
You should be a writer.,Vous devriez être écrivain.
I lost my key somewhere around here.,J'ai perdu ma clé quelque part autour d'ici.
Leave the bottle.,Laisse la bouteille.
I went there today.,J'y suis allée aujourd'hui.
She does nothing but complain.,Elle ne fait rien d'autre que se plaindre.
Both of you are wrong.,Vous avez toutes deux tort.
This is the lover's lane.,C'est la ruelle aux amoureux.
Are you looking for work?,Cherches-tu du travail ?
He is the tallest of all boys.,C'est le plus grand de tous les garçons.
Please let us know.,"Fais-le nous savoir, je te prie !"
I cannot describe my feelings.,Je ne peux pas décrire mes sentiments.
She taught me how to swim.,Elle m'a appris à nager.
"I hate to interrupt, but I need to say something.",Il me peine de vous interrompre mais il me faut dire quelque chose.
"If it rains, we will go to the art museum.","S'il pleut, on ira au musée d'art."
Tom said he didn't like chocolate ice cream.,Tom a dit qu'il n'aimait pas la glace au chocolat.
Tom didn't really understand.,Tom n'a pas vraiment compris.
Look into the box.,Regarde dans la boîte.
"Bell lived in London, right?","Bell a vécu à Londres, n'est-ce pas ?"
Wake me up at eight.,Réveillez-moi à huit heures.
Some companies guarantee their workers a job for life.,"Dans certaines sociétés, les employés peuvent avoir un travail garanti à vie."
"If I had time, I'd accept his invitation.","Si j'avais le temps, j'accepterais son invitation."
Do you think your parents spent enough time with you when you were in your teens?,Pensez-vous que vos parents ont passé suffisamment de temps avec vous lorsque vous étiez adolescents ?
He instantly fell in love with her.,Il est instantanément tombé amoureux d'elle.
I think that I understand what Tom's trying to say.,Je crois que je comprends ce que Tom essaye de dire.
Just keep moving.,Continuez à avancer !
"Are you a doctor, sir?","Êtes-vous médecin, Monsieur ?"
Do you want something to eat?,Veux-tu quelque chose à manger ?
Tom might testify.,Tom pourrait témoigner.
"After the rain, there were puddles on the street.",Après la pluie il y avait des flaques d'eau sur la route.
I live near a dam.,Je vis près d'un barrage.
He never speaks to me.,Il ne me parle jamais.
I would like chicken soup.,Je voudrais une soupe de poulet.
Listen.,Écoutez !
He's interested in Mayan prophecies.,Il s'intéresse aux prophéties mayas.
Do you know what happened?,Sais-tu ce qui est arrivé ?
Fish such as carp and trout live in fresh water.,Les poissons tels que la carpe ou la truite vivent en eau douce.
I refuse to answer.,Je me refuse à répondre.
This is a good movie.,C'est un bon film.
I was there three days.,J'y étais pendant trois jours.
She wanted to spare him embarrassment.,Elle voulait lui éviter l'embarras.
I asked him if he would help me.,Je lui ai demandé s'il m'aiderait.
I gave in to temptation and began to smoke a cigarette.,Je cédais à la tentation et me mis à fumer une cigarette.
I'm breast-feeding my baby.,Je donne le sein à mon bébé.
What should I do if Tom calls?,Que devrais-je faire si Tom appelle ?
No wonder they turned down her offer.,Rien d'étonnant à ce qu'elles aient refusé l'offre qu'elle leur faisait.
He offered ten dollars for our old radio.,Il nous offrit dix dollars en échange de notre vieille radio.
I finished the work in less than an hour.,J'ai terminé ce travail en moins d'une heure.
Do you go running every day?,Tu cours tous les jours ?
Are you Japanese?,Êtes-vous japonais ?
I need a pen.,J'ai besoin d'un stylo.
Do you want me to handle this?,Veux-tu que je traite ça ?
She moved out of her parents' house.,Elle a déménagé de chez ses parents.
Don't commit yourself.,Ne t'engage pas.
That's a tough question to answer.,C'est une question difficile à répondre.
"If I had had enough money, I would have bought that computer.","Si j'avais eu assez d'argent, j'aurais acheté cet ordinateur."
I cannot afford long vacations.,Je ne peux me permettre de longues vacances.
I can't decide what to eat for lunch.,Je n'arrive pas à décider quoi manger pour déjeuner.
I don't want you two talking about me.,Je ne veux pas que vous parliez de moi tous les deux.
We managed to get there on time.,On est parvenu à s'y rendre à temps.
Boys are strange sometimes.,Les garçons sont parfois étranges.
Will the work be finished by tomorrow?,Les travaux seront-ils terminés pour demain ?
I followed your instructions.,J'ai suivi tes instructions.
I have only half as many books as he does.,Je n'ai que moitié moins de livres que lui.
I really need a job.,J'ai vraiment besoin d'un travail.
How much did I lose?,Combien ai-je perdu ?
"He failed in business, and to make matters worse, his wife fell ill.","Son affaire a fait faillite, et pour couronner le tout, sa femme est tombée malade."
This stone is too heavy to lift.,Cette pierre est trop lourde pour être soulevée.
I killed the mosquito.,J'ai tué le moustique.
This is disgusting.,C’est dégoûtant.
I like both science and math.,J'aime autant la science que les maths.
Just be glad you're OK.,Contente-toi juste d'être sain et sauf.
He went in place of me.,Il est allé à ma place.
I'm experiencing some heartburn.,Je ressens des brûlures d'estomac.
Turtles hibernate.,Les tortues hibernent.
I'll guide you.,Je vous guiderai.
"It has suddenly gotten cold, hasn't it?","Le temps est soudainement devenu froid, n'est-ce pas ?"
I bought nine flowers.,J'ai acheté neuf fleurs.
I've only lived in Australia for three years.,J’ai vécu en Australie pendant seulement trois ans.
Have a nice day!,Bonne journée !
He ran so he would get there on time.,Il a couru afin d'y parvenir à temps.
He died suddenly.,Il mourut soudainement.
"The instant he opened the door, he smelt something burning.","Au moment où il ouvrait la porte, il sentit quelque chose brûler."
I just don't understand it.,Je ne le comprends tout simplement pas.
"I didn't understand anything, either.","Moi non plus, je n'ai rien compris."
I can't believe I'm here again.,Je n'arrive pas à croire que je sois de nouveau ici.
Father took his place at the head of the table and began to say grace.,Père pris place au bout de la table et entama le bénédicité.
Butter is made from milk.,Le beurre est fait à partir de lait.
Why don't you want to leave Boston?,Pourquoi ne veux-tu pas quitter Boston?
Does Tom like swimming?,Tom aime-t-il nager ?
I'm impatient.,Je suis impatiente.
I didn't know you could speak French.,J'ignorais que vous saviez parler le français.
You have blood on your hands.,Tu as du sang sur les mains.
We're reliable.,Nous sommes fiables.
How many of us were there?,Combien d'entre-nous étaient-elles là ?
Her father never let her go to town with her friends.,Son père ne la laissait jamais aller en ville avec ses amis.
"In all likelihood, the president will serve a second term.","En toute probabilité, le président exercera un second mandat."
Tell me what Tom said.,Dites-moi ce que Tom a dit.
I wanted to thank you for what you did today.,Je voulais vous remercier pour ce que vous avez fait aujourd'hui.
You're the last hope for humanity.,Vous êtes le dernier espoir de l'humanité.
She couldn't convince him to accept the bribe.,Elle ne put le convaincre d'accepter le pot-de-vin.
His ambition made him work hard.,Son ambition l'a poussé à travailler dur.
Tom found a job as a mechanic.,Tom a trouvé un travail de mécanicien.
This movie is so terrible it's hilarious.,Ce film est tellement nul que c'en est risible.
I just don't want you to get upset.,Je ne veux juste pas que vous soyez contrariée.
I can barely hear you.,J'ai du mal à t'entendre.
Tom is worried about Mary's safety.,Tom s'inquiète pour la sécurité de Mary.
I must help you.,Je dois t'aider.
I'm waiting for the bus.,Je suis en train d'attendre le bus.
I didn't tell him you were coming.,Je ne lui ai pas dit que tu venais.
It seems that the computer was infected by a virus.,On dirait que l’ordinateur a été infecté par un virus.
Keep in mind what I tell you.,Gardez à l'esprit ce que je vous dis.
I was very proud of that.,J'étais très fier de cela.
He holds the rank of colonel.,Il tient le rang de colonel.
"Finally, I have my own car.","Finalement, j'ai ma propre bagnole."
I'm looking for my wallet. Have you seen it?,Je cherche mon portefeuille. L'as-tu vu ?
All of my relatives are taller than me.,Tous mes parents sont plus grands que moi.
Those aren't my sunglasses.,Ce ne sont pas mes lunettes de soleil.
"Who is younger, him or me?","Qui est le plus jeune, lui ou moi ?"
Why won't anybody talk about this?,Pourquoi quiconque refuse-t-il d'en parler ?
I really appreciate your coming.,J'apprécie vraiment votre venue.
What's the big hurry?,Quelle est cette urgence ?
Please don't leave valuable things here.,S'il te plaît ne laisse pas des choses de valeur ici.
I can only tell you what I know.,Je ne peux vous dire que ce que je sais.
They were scolded by the teacher.,Ils furent grondés par l'instituteur.
Fold the paper in the middle.,Pliez la feuille par le milieu.
I've been looking forward to meeting you again.,J'avais hâte de te rencontrer à nouveau.
"No one can help you, Tom.","Personne ne peut t'aider, Tom."
Tom was a blackmailer.,Tom était un maître-chanteur.
This spoon is for soup.,Cette cuillère est pour la soupe.
Tom isn't good at math.,Tom n'est pas bon en maths.
A friend is someone who likes you even though he knows everything about you.,"Un ami est quelqu’un qui vous aime, même s'il sait tout de vous."
I have a lot of work to do today.,"J'ai beaucoup de travail à faire, aujourd'hui."
I can't believe that just worked.,Je n'arrive pas à croire que ça vienne de fonctionner.
What are you up to?,Que préparez-vous ?
I just want you to know how sorry I am.,Je veux juste que vous sachiez combien je suis désolée.
Let's replace all of them.,Remplaçons les tous.
Tom came here to ask us to help him.,Tom est venu ici pour nous demander de l'aider.
You can't stay in here all day.,Tu ne peux pas rester là-dedans toute la journée.
I think Tom is a lot better singer than Mary.,Je pense que Tom est un bien meilleur chanteur que Mary.
I want to keep my room as neat as possible.,Je veux garder ma chambre le plus propre possible.
You're twisting my words.,Tu déformes mes paroles.
"However, I'm not good at speaking English.","Cependant, je ne suis pas doué pour parler anglais."
Tom disagrees with Mary on that matter.,Tom est en désaccord avec Mary sur cette question.
You're crafty.,Tu es rusé.
Her face beamed with joy.,Son visage rayonna de joie.
I've been gone for a long time.,Je suis parti depuis longtemps.
I have another plan.,J'ai un autre plan.
I wondered if I could do such a thing.,Je me demandai si j'étais capable de faire une telle chose.
The soldiers guarded the bridge.,Les soldats gardaient le pont.
My papers were in that box.,Mes papiers étaient dans cette boite.
You look happy.,Vous avez l'air heureuses.
That's the only thing that's important.,C'est la seule chose qui soit importante.
I felt my phone vibrate in my pocket.,Je sentis mon téléphone vibrer dans ma poche.
"He came late, as is often the case with him.","Il est arrivé en retard, comme c'est souvent le cas avec lui."
Is it free?,C'est gratuit ?
Most of them just don't care.,La plupart s'en fiche.
Let's get together tonight.,Sortons ensemble ce soir.
"We all make mistakes, right?","Nous faisons tous deux des erreurs, n'est-ce pas ?"
They did it in front of the staff.,Elles l'ont fait au vu et au su du personnel.
I want to eat this.,Je veux manger ça.
I have to fix the washing machine.,Je dois réparer la machine à laver.
He mentioned it.,Il la mentionna.
I am very surprised that she became a Diet member.,Je suis très surpris qu'elle soit devenue membre de la Diète.
Get out of my sight.,Sors de ma vue !
I can't stand it anymore.,J'en peux plus !
We know all this.,Nous savons tout cela.
He often laughs at his own jokes.,Il rit souvent de ses propres blagues.
Tom wouldn't have done that.,Tom n'aurait pas fait cela.
My parents live outside the city.,Mes parents habitent hors de la ville.
I didn't want you to miss your bus.,Je ne voulais pas que tu manques ton car.
The street was dark.,La rue était sombre.
We can't get out of this.,Nous ne parvenons pas à en sortir.
He had a traffic accident on his way to school.,Il a eu un accident de circulation en allant à l'école.
Quakers believe that all people are equal.,Les quakers pensent que tous les hommes sont égaux.
You are suitable for the job.,Vous convenez au poste.
It's surprising that you haven't heard anything about her wedding.,Il est surprenant que tu n'aies rien entendu au sujet de son mariage.
Who doesn't care about money?,Qui ne se soucie pas de l'argent ?
I'm not hungry now.,Je n'ai pas faim maintenant.
I have one brother and two sisters.,J'ai un frère et deux sœurs.
I'm not in love with you.,Je ne suis pas amoureux de toi.
"I didn't know the city, and what's more, I couldn't speak a word of the language.","Je ne connaissais pas la ville, et qui plus est, je ne savais pas un mot de la langue."
I won.,J’ai gagné.
Tom has decided to say yes.,Tom a décidé de dire oui.
My folks used to tell me stories about that.,Mes parents me racontaient des histoires à ce sujet.
Everybody does that.,Tout le monde fait ça.
Do you have any foreign books?,Avez-vous des livres étrangers ?
What do you think of these shoes?,Que penses-tu de ces chaussures ?
"You're impressed, aren't you?","Tu es impressionné, pas vrai ?"
He has a good record as a businessman.,Il a bonne réputation comme homme d'affaire.
Pray for all of us.,Priez pour nous toutes !
I want to thank you.,Je veux te remercier.
We need to get going.,Il nous faut démarrer.
The man reading a paper over there is my uncle.,L'homme par là-bas qui lit le journal est mon oncle.
Did you really think today was my birthday?,Est-ce que vous pensiez vraiment que c'était mon anniversaire aujourd'hui ?
"You drank a beer at lunch, didn't you?","Tu as bu une bière pendant le déjeuner, n'est-ce pas ?"
Fold up the map.,Repliez la carte.
He is not what he used to be.,Il n'est plus celui qu'il était.
Hippopotamuses love water.,Les hippopotames aiment beaucoup l'eau.
He removed his sunglasses.,Il retira ses lunettes de soleil.
Should I be talking to Tom?,Devrais-je parler à Tom ?
Tom and Mary returned to their seats.,Tom et Mary retournèrent à leurs places.
"I'm not saying this to hurt you, but it's the truth.",Je ne le dis pas pour vous blesser mais c'est la vérité.
I had my money stolen.,On m'a volé mon argent.
I just couldn't help myself.,Je n'ai simplement pas pu m'en empêcher.
She explained to him why she was late for his party.,Elle lui expliqua pourquoi elle était en retard à sa fête.
I opened an account in my daughter's name.,J'ai ouvert un compte au nom de ma fille.
I'm sorry I opened your mail by mistake.,Je suis désolé j'ai ouvert votre courrier par erreur.
Do you know what time that accident happened?,Savez-vous à quelle heure l'accident est survenu?
Let's examine the numbers.,Examinons les nombres.
The man who I thought was my friend deceived me.,L'homme que je pensais être mon ami m'a trompé.
I'll pick you up after school.,Je viendrai vous chercher après l'école.
Tom and I study French together.,Tom et moi étudions le français ensemble.
I'm not used to sleeping in a tent.,Je n'ai pas l’habitude de dormir dans une tente.
About how many English words do you know?,Environ combien de mots anglais connais-tu ?
"After the game, he went straight home to feed his dog.","Après la partie, il se rendit directement chez lui pour nourrir son chien."
Do you like bananas?,Aimes-tu les bananes?
He doesn't show his true feelings.,Il ne montre pas ses véritables sentiments.
Now drink up.,"Videz votre verre, maintenant !"
Who invented the telephone?,Qui inventa le téléphone ?
You need to stop doing that right now.,Vous devez arrêter de faire ça sur-le-champ.
Let's go on a road trip.,Prenons la route !
Malaria is a disease that mosquitoes carry.,La malaria est une maladie que les moustiques transportent.
How is this possible?,Comment est-ce possible ?
Human remains were found during the excavation.,Des restes humains furent trouvés au cours de l'excavation.
He was going to leave the house when she came.,Il allait quitter la maison lorsqu'elle est arrivée.
That's a photo of my sister.,C'est une photographie de ma sœur.
Why did you wait so long to kiss me?,Pourquoi as-tu attendu si longtemps pour m'embrasser ?
You shouldn't trust Tom.,Vous ne devriez pas faire confiance à Tom.
He let me use his typewriter.,Il me laissa utiliser sa machine à écrire.
I can't live without my cat.,Je ne sais pas vivre sans mon chat.
We are going to have an examination in English tomorrow.,Demain nous allons avoir une interrogation en anglais.
You need to be prepared.,Il te faut être préparé.
He was unaware of the danger.,Il était inconscient du danger.
I need to go to work.,Je dois aller au travail.
We need you.,Nous avons besoin de vous.
Can we drop this?,Pouvons-nous laisser tomber ceci ?
